#,Category,Brand Name,Program Name,Direct Sign-Up URL,Free to Join (Yes/No),Notes,Sign_Up_Type,Required_Fields,Auto_Signup_Feasible,Reward_on_Signup,Barriers  
81,Catalog,The Company Store,Email Club,https://www.thecompanystore.com/email-signup,Yes,Instant discount,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
82,Catalog,J.Crew,J.Crew Passport,https://www.jcrew.com/r/passport,Yes,Free shipping,Full Registration,"email, name, phone",Yes,None noted,None noted  
83,Catalog,Duluth Trading Co.,Email List,https://www.duluthtrading.com/email-signup,Yes,,Email Only,email,Yes,None noted,None noted  
84,Catalog,Orvis,Orvis Rewards,https://www.orvis.com/rewards,Yes,Points on outdoor gear,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
85,Catalog,Fingerhut,Fingerhut Credit Account,https://www.fingerhut.com/secure/apply,Yes,Soft pull pre-qualification available,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
86,Gas,RaceTrac,RaceTrac Rewards,https://www.racetrac.com/rewards/register,Yes,Point-based system,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
87,Gas,Thorntons,Refreshing Rewards,https://www.thorntonsinc.com/my-rewards/register,Yes,Gas savings,Full Registration,"email, name, phone",Yes,None noted,None noted  
88,Gas,Sinclair Oil,DINOPAY,https://www.sinclairoil.com/dinopay,Yes,App-based mobile pay savings,Full Registration,"email, name, phone",Yes,None noted,None noted  
89,Gas,Kwik Trip,Kwik Rewards,https://www.kwiktrip.com/kwik-rewards,Yes,15th visit free reward,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
90,Gas,GetGo,Advantage Card/myPerks,https://www.getgo.com/advantage-card,Yes,Fuel perks,Full Registration,"email, name, phone",Yes,None noted,None noted  
91,Gas,Holiday Stationstores,Holiday Rewards,https://www.holidaystationstores.com/Rewards,Yes,App-based coupons,Full Registration,"email, name, phone",Yes,None noted,None noted  
92,Gas,Loaf 'N Jug,Fresh Values,https://www.loafnjug.com/account/create,Yes,Kroger-affiliated,Full Registration,"email, name, phone",Yes,None noted,None noted  
93,Gas,Phillips 66,My Phillips 66 App,https://www.phillips66gas.com/mobile-app,Yes,Mobile pay discounts,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
94,Gas,Conoco,My Conoco App,https://www.conoco.com/mobile-app,Yes,Direct savings at pump,Full Registration,"email, name, phone",Yes,None noted,None noted  
95,Gas,76,My 76 App,https://www.76.com/mobile-app,Yes,Connected to Phillips 66 network,Full Registration,"email, name, phone",Yes,None noted,None noted  
96,Grocery,Central Market,Central Market Account,https://www.centralmarket.com/register,Yes,Digital coupons,Full Registration,"email, name, phone",Yes,None noted,None noted  
97,Grocery,Fiesta Mart,Fiesta Rewards,https://www.fiestamart.com/rewards,Yes,Points-based savings,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
98,Grocery,Aldi,Aldi Account,https://new.aldi.us/account/register,Yes,Digital weekly ads,Full Registration,"email, name, phone",Yes,None noted,None noted  
99,Grocery,Trader Joe's,Fearless Flyer Newsletter,https://www.traderjoes.com/home/subscribe,Yes,Informational only,Email Only,email,Yes,None noted,None noted  
100,Grocery,Fresh Thyme,Fresh Thyme Rewards,https://www.freshthyme.com/rewards,Yes,Digital coupons,Full Registration,"email, name, phone",Yes,None noted,None noted  
101,Grocery,Save A Lot,Email Club,https://savealot.com/email-sign-up,Yes,Weekly ad delivery,Full Registration,"email, name, phone",Yes,None noted,None noted  
102,Grocery,Grocery Outlet,WOW Alerts,https://www.groceryoutlet.com/wow-alerts,Yes,Early access to deals,Full Registration,"email, name, phone",Yes,None noted,None noted  
103,Grocery,Smart & Final,SmartAdvantage,https://www.smartandfinal.com/register,Yes,Business/club size savings,Full Registration,"email, name, phone",Yes,None noted,None noted  
104,Grocery,Food City,ValuCard,https://www.foodcity.com/valucard,Yes,Fuel bucks,Full Registration,"email, name, phone",Yes,None noted,None noted  
105,Grocery,Ingles Markets,Advantage Card,https://www.ingles-markets.com/advantage-card,Yes,Fuel savings,Full Registration,"email, name, phone",Yes,None noted,None noted  
106,Grocery,Weis Markets,Weis Rewards,https://www.weismarkets.com/weis-rewards,Yes,Gas and grocery savings,Full Registration,"email, name, phone",Yes,None noted,None noted  
107,Dining,Raising Cane's,Caniac Club,https://caniacclub.raisingcanes.com,No,Requires physical card from restaurant,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
108,Dining,Zaxby's,Zax Rewardz,https://www.zaxbys.com/rewards,Yes,Free Big Zax Snak on signup,Full Registration,"email, name, phone",Yes,None noted,None noted  
109,Dining,El Pollo Loco,Loco Rewards,https://www.elpolloloco.com/rewards,Yes,Point-based,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
110,Dining,Del Taco,Del Yeah\! Rewards,https://www.deltaco.com/delyeah,Yes,Tiered rewards system,Full Registration,"email, name, phone",Yes,None noted,None noted  
111,Dining,Qdoba,QDOBA Rewards,https://www.qdoba.com/rewards,Yes,Points for free entrees,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
112,Dining,Moe's Southwest Grill,Moe Rewards,https://www.moes.com/rewards,Yes,Free cup of queso on signup,Full Registration,"email, name, phone",Yes,None noted,None noted  
113,Dining,Jamba,Jamba Rewards,https://www.jamba.com/rewards,Yes,Points for smoothies,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
114,Dining,Smoothie King,Healthy Rewards,https://www.smoothieking.com/healthy-rewards,Yes,Upgrade sizes with points,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
115,Dining,Tropical Smoothie Cafe,Tropic Rewards,https://www.tropicalsmoothiecafe.com/rewards,Yes,Free smoothie after first purchase,Full Registration,"email, name, phone",Yes,None noted,None noted  
116,Dining,Einstein Bros. Bagels,Shmear Society,https://www.einsteinbros.com/shmear-society-rewards,Yes,Free bagel & shmear welcome,Full Registration,"email, name, phone",Yes,None noted,None noted  
117,Dining,Peet's Coffee,Peetnik Rewards,https://www.peets.com/pages/peetnik-rewards,Yes,Points for coffee,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
118,Dining,Caribou Coffee,Caribou Perks,https://www.cariboucoffee.com/caribou-perks,Yes,Customize drinks,Full Registration,"email, name, phone",Yes,None noted,None noted  
119,Dining,Dutch Bros Coffee,Dutch Rewards,https://www.dutchbros.com/rewards,Yes,Points per dollar spent,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
120,Dining,Cava,Cava Rewards,https://cava.com/rewards,Yes,Spend-based rewards,Full Registration,"email, name, phone",Yes,None noted,None noted  
121,Dining,Sweetgreen,Sweetpass,https://www.sweetgreen.com/sweetpass,Yes,Free basic tier; paid Sweetpass+ available,Full Registration,"email, name, phone",Yes,None noted,None noted  
122,Dining,Portillo's,Portillo's Perks,https://www.portillos.com/perks,Yes,Birthday treat,Full Registration,"email, name, phone",Yes,None noted,None noted  
123,Dining,Smashburger,SmashRewards,https://smashburger.com/smashrewards,Yes,Points for burgers,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
124,Dining,Five Guys,Account Creation,https://order.fiveguys.com/account/create,Yes,Rapid re-ordering,Full Registration,"email, name, phone",Yes,None noted,None noted  
125,Dining,Shake Shack,Shack App Account,https://shakeshack.com/account/login,Yes,Early access to new items,Full Registration,"email, name, phone",Yes,None noted,None noted  
126,Dining,Torchy's Tacos,Taco Junkies Rewards,https://torchystacos.com/rewards,Yes,Surprise rewards,Full Registration,"email, name, phone",Yes,None noted,None noted  
127,Dining,Freebirds World Burrito,Freebirds Rewards,https://www.freebirds.com/rewards,Yes,Points for burritos,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
128,Dining,Velvet Taco,The Velvet Room,https://velvettaco.com/the-velvet-room,Yes,Exclusive tastings,Full Registration,"email, name, phone",Yes,None noted,None noted  
129,Dining,Hopdoddy Burger Bar,Hopdoddy Rewards,https://www.hopdoddy.com/rewards,Yes,Free fries on sign-up,Full Registration,"email, name, phone",Yes,None noted,None noted  
130,Dining,Schlotzsky's,Schlotzsky's Rewards,https://www.schlotzskys.com/rewards,Yes,Unlock tier benefits,Full Registration,"email, name, phone",Yes,None noted,None noted  
131,Dining,Jason's Deli,Deli Dollars,https://www.jasonsdeli.com/deli-dollars,Yes,Earn points for free food,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
132,Dining,McAlister's Deli,McAlister's Rewards,https://www.mcalistersdeli.com/rewards,Yes,Points toward tea and sandwiches,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
133,Dining,Corner Bakery Cafe,Corner Bakery Rewards,https://cornerbakerycafe.com/rewards,Yes,$5 off next visit,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
134,Dining,Fuzzy's Taco Shop,Fuzzy's Rewards,https://fuzzystacoshop.com/rewards,Yes,Earn 10 points per $1,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
135,Dining,Taco Cabana,MY TC\! Loyalty,https://www.tacocabana.com/mytc,Yes,$5 reward after first purchase,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
136,Dining,Pei Wei,My Wei Rewards,https://www.peiwei.com/rewards,Yes,Points for free entrees,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
137,Dining,Panda Express,Panda Rewards,https://www.pandaexpress.com/rewards,Yes,Welcome gift and points,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
138,Dining,Noodles & Company,Noodles Rewards,https://www.noodles.com/rewards,Yes,Free regular entree after first purchase,Full Registration,"email, name, phone",Yes,None noted,None noted  
139,Dining,True Food Kitchen,True Insider,https://www.truefoodkitchen.com/rewards,Yes,Spend-based tiers,Full Registration,"email, name, phone",Yes,None noted,None noted  
140,Dining,Mendocino Farms,My Mendo,https://mendocinofarms.com/my-mendo,Yes,Specialized offers,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
141,Dining,Cicis Pizza,MyCicis,https://www.cicis.com/rewards,Yes,Earn free buffets,Full Registration,"email, name, phone",Yes,None noted,None noted  
142,Dining,Marco's Pizza,Email Club/Loyalty,https://www.marcos.com/email-club,Yes,Direct coupons,Full Registration,"email, name, phone",Yes,None noted,None noted  
143,Dining,Papa Johns,Papa Rewards,https://www.papajohns.com/papa-rewards,Yes,Earn Papa Dough,Full Registration,"email, name, phone",Yes,None noted,None noted  
144,Dining,Pappas Restaurants,Pappas eClub,https://www.pappas.com/pappas-eclub,Yes,Valid across Pappas brands,Full Registration,"email, name, phone",Yes,None noted,None noted  
145,Dept Store,Anthropologie,AnthroPerks,https://www.anthropologie.com/anthroperks,Yes,Free shipping on $50+,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
146,Dept Store,Urban Outfitters,UO Rewards,https://www.urbanoutfitters.com/uo-rewards,Yes,Points for purchases,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
147,Dept Store,Free People,FP Community,https://www.freepeople.com/fp-community,Yes,Early access to sales,Full Registration,"email, name, phone",Yes,None noted,None noted  
148,Catalog,Pottery Barn,Key Rewards,https://www.potterybarn.com/pages/the-key-rewards,Yes,2% back,Full Registration,"email, name, phone",Yes,None noted,None noted  
149,Catalog,West Elm,Key Rewards,https://www.westelm.com/pages/the-key-rewards,Yes,Connected to Pottery Barn network,Full Registration,"email, name, phone",Yes,None noted,None noted  
150,Catalog,Williams Sonoma,Key Rewards,https://www.williams-sonoma.com/pages/the-key-rewards,Yes,Connected to Pottery Barn network,Full Registration,"email, name, phone",Yes,None noted,None noted  
151,Catalog,Crate & Barrel,Crate & Barrel Rewards,https://www.crateandbarrel.com/rewards,No,Credit card required for full rewards,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
152,Catalog,CB2,CB2 Rewards,https://www.cb2.com/rewards,Yes,Connected to Crate & Barrel,Full Registration,"email, name, phone",Yes,None noted,None noted  
153,Catalog,Wayfair,Wayfair Rewards,https://www.wayfair.com/wayfaircard,No,Requires credit card; soft pull often available,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
154,Catalog,Bed Bath & Beyond/Overstock,Welcome Rewards,https://www.bedbathandbeyond.com/welcome-rewards,Yes,Points on home goods,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
155,Dept Store,The Container Store,Organized Insider,https://www.containerstore.com/organized-insider,Yes,Receipt tracking,Full Registration,"email, name, phone",Yes,None noted,None noted  
156,Catalog,Sur La Table,SLT Perks,https://www.surlatable.com/slt-perks,Yes,Points on cookware,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
157,Catalog,Ballard Designs,Email Sign-Up,https://www.ballarddesigns.com/email-signup,Yes,Catalog delivery,Full Registration,"email, name, phone",Yes,None noted,None noted  
158,Catalog,Grandin Road,Email Sign-Up,https://www.grandinroad.com/email-signup,Yes,Instant welcome code,Full Registration,"email, name, phone",Yes,None noted,None noted  
159,Catalog,Plow & Hearth,Email Sign-Up,https://www.plowhearth.com/email-signup,Yes,Catalog requests,Full Registration,"email, name, phone",Yes,None noted,None noted  
160,Catalog,Hammacher Schlemmer,Email Newsletter,https://www.hammacher.com/email-signup,Yes,Special offers,Email Only,email,Yes,None noted,None noted  
161,Catalog,Harry & David,Celebrations Passport,https://www.harryanddavid.com/h/passport,No,Paid subscription; free shipping,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
162,Catalog,1-800-Flowers,Celebrations Passport,https://www.1800flowers.com/passport,No,Connects with Harry & David,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
163,Catalog,Omaha Steaks,Steaklover Rewards,https://www.omahasteaks.com/steaklover-rewards,Yes,Points for free food,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
164,Catalog,Hickory Farms,Account Sign-Up,https://www.hickoryfarms.com/register,Yes,Order tracking,Full Registration,"email, name, phone",Yes,None noted,None noted  
165,Pharmacy,Thrifty White Pharmacy,Rx Rewards,https://www.thriftywhite.com/rxrewards,Yes,Points for prescriptions,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
166,Pharmacy,Lewis Drug,Rx Rewards,https://www.lewisdrug.com/pharmacy/rx-rewards,Yes,In-store rewards,Full Registration,"email, name, phone",Yes,None noted,In-store signup only  
167,Pharmacy,Kinney Drugs,tNt Rewards,https://kinneydrugs.com/tnt-rewards/sign-up,Yes,Regional pharmacy points,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
